9*,9,19,47.36,1,0,,v Bangladesh,Chittagong,9 Mar 2008,ODI # 2690
16,16,27,59.25,2,0,,v Bangladesh,Dhaka,12 Mar 2008,ODI # 2691
DNB,-,-,-,-,-,,v Bangladesh,Dhaka,14 Mar 2008,ODI # 2692
46,46,59,77.96,6,0,,v England,The Oval,29 Aug 2008,ODI # 2757
34,34,31,109.67,8,0,,v England,Lord's,31 Aug 2008,ODI # 2759
3*,3,6,50.00,0,0,,v England,Cardiff,3 Sep 2008,ODI # 2761
7,7,7,100.00,1,0,,v Kenya,Bloemfontein,31 Oct 2008,ODI # 2769
78,78,76,102.63,13,0,,v Kenya,Kimberley,2 Nov 2008,ODI # 2770
35,35,34,102.94,6,0,,v Bangladesh,Potchefstroom,7 Nov 2008,ODI # 2771
140,140,135,103.70,8,4,,v Bangladesh,Benoni,9 Nov 2008,ODI # 2772
1,1,3,33.33,0,0,,v Australia,Melbourne,16 Jan 2009,ODI # 2795
8,8,19,42.10,0,0,,v Australia,Hobart,18 Jan 2009,ODI # 2796
13,13,19,68.42,1,0,,v Australia,Sydney,23 Jan 2009,ODI # 2802
80*,80,103,77.66,7,0,,v Australia,Adelaide,26 Jan 2009,ODI # 2804
97,97,117,82.90,6,1,,v Australia,Perth,30 Jan 2009,ODI # 2808
7,7,14,50.00,1,0,,v Australia,Durban,3 Apr 2009,ODI # 2832
2,2,10,20.00,0,0,,v Sri Lanka,Centurion,22 Sep 2009,ODI # 2893
38,38,65,58.46,3,0,,v New Zealand,Centurion,24 Sep 2009,ODI # 2895
80,80,96,83.33,6,0,,v Zimbabwe,Benoni,8 Nov 2009,ODI # 2926
57,57,72,79.16,6,0,,v England,Centurion,22 Nov 2009,ODI # 2929
86,86,92,93.47,7,0,,v England,Cape Town,27 Nov 2009,ODI # 2930
11,11,22,50.00,2,0,,v England,Port Elizabeth,29 Nov 2009,ODI # 2931
34,34,22,154.54,7,0,,v India,Gwalior,24 Feb 2010,ODI # 2962
87,87,103,84.46,8,0,,v India,Ahmedabad,27 Feb 2010,ODI # 2963
102,102,109,93.57,8,0,,v West Indies,North Sound,22 May 2010,ODI # 2979
92,92,95,96.84,7,0,,v West Indies,North Sound,24 May 2010,ODI # 2980
34,34,28,121.42,5,0,,v West Indies,Roseau,28 May 2010,ODI # 2982
129,129,115,112.17,9,2,,v West Indies,Roseau,30 May 2010,ODI # 2984
45,45,50,90.00,3,1,,v West Indies,Port of Spain,3 Jun 2010,ODI # 2987
110,110,96,114.58,14,0,,v Zimbabwe,Bloemfontein,15 Oct 2010,ODI # 3057
110,110,103,106.79,12,0,,v Zimbabwe,Potchefstroom,17 Oct 2010,ODI # 3059
24,24,18,133.33,3,1,,v Zimbabwe,Benoni,22 Oct 2010,ODI # 3061
