18,18,34,52.94,1,0,,v New Zealand,Paarl,19 Jan 2013,ODI # 3323
25,25,28,89.28,1,2,,v New Zealand,Kimberley,22 Jan 2013,ODI # 3325
31,31,38,81.57,4,0,,v New Zealand,Potchefstroom,25 Jan 2013,ODI # 3328
3,3,12,25.00,0,0,,v Pakistan,Benoni,24 Mar 2013,ODI # 3350
20,20,28,71.42,3,0,,v Sri Lanka,Pallekele,26 Jul 2013,ODI # 3398
8,8,9,88.88,2,0,,v Sri Lanka,Pallekele,28 Jul 2013,ODI # 3400
27,27,21,128.57,5,0,,v Sri Lanka,Colombo (RPS),31 Jul 2013,ODI # 3401
40,40,57,70.17,5,0,,v Pakistan,Abu Dhabi,6 Nov 2013,ODI # 3430
112,112,135,82.96,9,1,,v Pakistan,Abu Dhabi,8 Nov 2013,ODI # 3431
34,34,41,82.92,5,0,,v Pakistan,Sharjah,11 Nov 2013,ODI # 3433
19,19,24,79.16,3,0,,v Pakistan,Cape Town,24 Nov 2013,ODI # 3438
47,47,52,90.38,3,1,,v Pakistan,Port Elizabeth,27 Nov 2013,ODI # 3440
15,15,18,83.33,3,0,,v Pakistan,Centurion,30 Nov 2013,ODI # 3441
135,135,121,111.57,18,3,,v India,Johannesburg,5 Dec 2013,ODI # 3442
106,106,118,89.83,9,0,,v India,Durban,8 Dec 2013,ODI # 3443
101,101,120,84.16,9,2,,v India,Centurion,11 Dec 2013,ODI # 3444
27,27,35,77.14,3,1,,v Sri Lanka,Colombo (RPS),6 Jul 2014,ODI # 3500
4,4,6,66.66,1,0,,v Sri Lanka,Pallekele,9 Jul 2014,ODI # 3501
128,128,127,100.78,12,3,,v Sri Lanka,Hambantota,12 Jul 2014,ODI # 3502
63,63,68,92.64,8,1,,v Zimbabwe,Bulawayo,17 Aug 2014,ODI # 3507
38,38,38,100.00,5,0,,v Zimbabwe,Bulawayo,19 Aug 2014,ODI # 3508
84,84,75,112.00,7,2,,v Zimbabwe,Bulawayo,21 Aug 2014,ODI # 3510
19,19,18,105.55,2,0,,v Australia,Harare,27 Aug 2014,ODI # 3516
76,76,76,100.00,7,1,,v Zimbabwe,Harare,29 Aug 2014,ODI # 3518
1,1,5,20.00,0,0,,v Australia,Harare,2 Sep 2014,ODI # 3522
2,2,4,50.00,0,0,,v Zimbabwe,Harare,4 Sep 2014,ODI # 3524
7,7,7,100.00,1,0,,v Australia,Harare,6 Sep 2014,ODI # 3526
9,9,5,180.00,2,0,,v New Zealand,Mount Maunganui,21 Oct 2014,ODI # 3536
26,26,33,78.78,3,0,,v New Zealand,Mount Maunganui,24 Oct 2014,ODI # 3537
80*,80,94,85.10,11,0,,v New Zealand,Hamilton,27 Oct 2014,ODI # 3538
2,2,7,28.57,0,0,,v Australia,Perth,14 Nov 2014,ODI # 3545
4,4,8,50.00,1,0,,v Australia,Perth,16 Nov 2014,ODI # 3546
47,47,53,88.67,4,1,,v Australia,Canberra,19 Nov 2014,ODI # 3548
17,17,38,44.73,0,0,,v Australia,Melbourne,21 Nov 2014,ODI # 3549
107,107,123,86.99,14,0,,v Australia,Sydney,23 Nov 2014,ODI # 3551
4,4,7,57.14,1,0,,v West Indies,Centurion,28 Jan 2015,ODI # 3593
7,7,16,43.75,1,0,,v Zimbabwe,Hamilton,15 Feb 2015,ODI # 3601
7,7,15,46.66,1,0,,v India,Melbourne,22 Feb 2015,ODI # 3610
12,12,19,63.15,3,0,,v West Indies,Sydney,27 Feb 2015,ODI # 3616
1,1,4,25.00,0,0,,v Ireland,Canberra,3 Mar 2015,ODI # 3621
0,0,2,0.00,0,0,,v Pakistan,Auckland,7 Mar 2015,ODI # 3626
26,26,45,57.77,2,0,,v U.A.E.,Wellington,12 Mar 2015,ODI # 3633
78*,78,57,136.84,12,0,,v Sri Lanka,Sydney,18 Mar 2015,ODI # 3640
14,14,17,82.35,2,0,,v New Zealand,Auckland,24 Mar 2015,ODI # 3644
35,35,41,85.36,5,0,,v Bangladesh,Dhaka,10 Jul 2015,ODI # 3663
2,2,9,22.22,0,0,,v Bangladesh,Dhaka,12 Jul 2015,ODI # 3666
