12,12,18,66.66,2,0,,v Zimbabwe,Sharjah,3 Apr 2003,ODI # 1994
50,50,103,48.54,3,0,,v Sri Lanka,Sharjah,4 Apr 2003,ODI # 1995
36,36,58,62.06,4,1,,v Kenya,Sharjah,8 Apr 2003,ODI # 1999
2,2,9,22.22,0,0,,v Zimbabwe,Sharjah,10 Apr 2003,ODI # 2000
53,53,114,46.49,2,0,,v Sri Lanka,Dambulla,10 May 2003,ODI # 2008
0,0,4,0.00,0,0,,v New Zealand,Dambulla,11 May 2003,ODI # 2009
20,20,38,52.63,1,1,,v Sri Lanka,Dambulla,18 May 2003,ODI # 2012
3,3,11,27.27,0,0,,v New Zealand,Dambulla,20 May 2003,ODI # 2015
0,0,4,0.00,0,0,,v New Zealand,Dambulla,23 May 2003,ODI # 2017
69,69,112,61.60,8,0,,v England,Manchester,17 Jun 2003,ODI # 2025
14,14,27,51.85,2,0,,v England,The Oval,20 Jun 2003,ODI # 2026
19,19,41,46.34,3,0,,v England,Lord's,22 Jun 2003,ODI # 2027
27,27,31,87.09,6,0,,v Bangladesh,Multan,9 Sep 2003,ODI # 2041
26,26,36,72.22,4,0,,v Bangladesh,Faisalabad,12 Sep 2003,ODI # 2042
2,2,17,11.76,0,0,,v Bangladesh,Lahore,15 Sep 2003,ODI # 2043
9,9,25,36.00,2,0,,v Bangladesh,Rawalpindi,18 Sep 2003,ODI # 2044
44,44,64,68.75,7,0,,v Bangladesh,Karachi,21 Sep 2003,ODI # 2045
5,5,17,29.41,1,0,,v South Africa,Lahore,3 Oct 2003,ODI # 2046
7,7,19,36.84,1,0,,v South Africa,Lahore,5 Oct 2003,ODI # 2047
20,20,42,47.61,3,0,,v South Africa,Faisalabad,7 Oct 2003,ODI # 2048
1,1,20,5.00,0,0,,v South Africa,Rawalpindi,10 Oct 2003,ODI # 2049
0,0,2,0.00,0,0,,v South Africa,Rawalpindi,12 Oct 2003,ODI # 2050
0,0,9,0.00,0,0,,v Australia,Hobart,16 Jan 2005,ODI # 2205
2,2,9,22.22,0,0,,v West Indies,Brisbane,19 Jan 2005,ODI # 2206
13,13,36,36.11,0,0,,v Australia,Sydney,23 Jan 2005,ODI # 2209
41,41,41,100.00,6,0,,v West Indies,Adelaide,28 Jan 2005,ODI # 2213
13,13,39,33.33,2,0,,v Australia,Melbourne,4 Feb 2005,ODI # 2220
6,6,25,24.00,1,0,,v Australia,Sydney,6 Feb 2005,ODI # 2222
