40,40,44,90.90,6,0,,v England,Chester-le-Street,3 Sep 2011,ODI # 3186
54,54,47,114.89,5,1,,v England,Southampton,6 Sep 2011,ODI # 3187
0,0,3,0.00,0,0,,v England,The Oval,9 Sep 2011,ODI # 3189
38,38,53,71.69,5,1,,v England,Lord's,11 Sep 2011,ODI # 3191
26,26,47,55.31,3,0,,v England,Cardiff,16 Sep 2011,ODI # 3195
15,15,41,36.58,0,0,,v England,Hyderabad (Deccan),14 Oct 2011,ODI # 3199
14,14,15,93.33,1,1,,v England,Delhi,17 Oct 2011,ODI # 3201
91,91,104,87.50,6,0,,v England,Mohali,20 Oct 2011,ODI # 3205
20,20,37,54.05,1,0,,v England,Mumbai,23 Oct 2011,ODI # 3207
42,42,61,68.85,6,0,,v England,Kolkata,25 Oct 2011,ODI # 3210
0,0,1,0.00,0,0,,v West Indies,Chennai,11 Dec 2011,ODI # 3224
9,9,17,52.94,1,0,,v Sri Lanka,Pallekele,4 Aug 2012,ODI # 3295
4,4,11,36.36,1,0,,v Pakistan,Delhi,6 Jan 2013,ODI # 3316
47,47,57,82.45,6,0,,v England,Rajkot,11 Jan 2013,ODI # 3318
4,4,14,28.57,0,0,,v England,Kochi,15 Jan 2013,ODI # 3320
0,0,4,0.00,0,0,,v England,Ranchi,19 Jan 2013,ODI # 3322
50,50,66,75.75,4,1,,v Zimbabwe,Bulawayo,3 Aug 2013,ODI # 3403
8,8,17,47.05,1,0,,v South Africa,Durban,8 Dec 2013,ODI # 3443
7,7,13,53.84,0,0,,v New Zealand,Napier,19 Jan 2014,ODI # 3456
36,36,42,85.71,4,0,,v New Zealand,Hamilton,22 Jan 2014,ODI # 3458
3,3,14,21.42,0,0,,v New Zealand,Auckland,25 Jan 2014,ODI # 3462
3,3,8,37.50,0,0,,v New Zealand,Hamilton,28 Jan 2014,ODI # 3465
2,2,10,20.00,0,0,,v New Zealand,Wellington,31 Jan 2014,ODI # 3467
73,73,83,87.95,7,1,,v Bangladesh,Fatullah,26 Feb 2014,ODI # 3474
22,22,27,81.48,1,0,,v Sri Lanka,Fatullah,28 Feb 2014,ODI # 3476
23,23,50,46.00,3,0,,v Pakistan,Dhaka,2 Mar 2014,ODI # 3479
56,56,66,84.84,5,0,,v Afghanistan,Dhaka,5 Mar 2014,ODI # 3483
64,64,70,91.42,5,2,,v Bangladesh,Dhaka,15 Jun 2014,ODI # 3497
0,0,1,0.00,0,0,,v Bangladesh,Dhaka,17 Jun 2014,ODI # 3498
3,3,18,16.66,0,0,,v Bangladesh,Dhaka,19 Jun 2014,ODI # 3499
41,41,47,87.23,4,0,,v England,Cardiff,27 Aug 2014,ODI # 3517
45,45,56,80.35,6,1,,v England,Nottingham,30 Aug 2014,ODI # 3520
106,106,100,106.00,10,4,,v England,Birmingham,2 Sep 2014,ODI # 3523
0,0,3,0.00,0,0,,v England,Leeds,5 Sep 2014,ODI # 3525
24,24,22,109.09,4,0,,v West Indies,Kochi,8 Oct 2014,ODI # 3531
12,12,28,42.85,1,0,,v West Indies,Delhi,11 Oct 2014,ODI # 3533
68,68,79,86.07,7,0,,v West Indies,Dharamsala,17 Oct 2014,ODI # 3535
111,111,108,102.77,13,2,,v Sri Lanka,Cuttack,2 Nov 2014,ODI # 3539
8,8,19,42.10,1,0,,v Sri Lanka,Ahmedabad,6 Nov 2014,ODI # 3540
31,31,47,65.95,5,0,,v Sri Lanka,Hyderabad (Deccan),9 Nov 2014,ODI # 3543
28,28,24,116.66,6,0,,v Sri Lanka,Kolkata,13 Nov 2014,ODI # 3544
2,2,10,20.00,0,0,,v Sri Lanka,Ranchi,16 Nov 2014,ODI # 3547
12,12,22,54.54,2,0,,v Australia,Melbourne,18 Jan 2015,ODI # 3582
33,33,40,82.50,1,1,,v England,Brisbane,20 Jan 2015,ODI # 3586
28*,28,50,56.00,2,0,,v Australia,Sydney,26 Jan 2015,ODI # 3592
73,73,101,72.27,3,1,,v England,Perth,30 Jan 2015,ODI # 3595
0,0,1,0.00,0,0,,v Pakistan,Adelaide,15 Feb 2015,ODI # 3602
79,79,60,131.66,7,3,,v South Africa,Melbourne,22 Feb 2015,ODI # 3610
DNB,-,-,-,-,-,,v U.A.E.,Perth,28 Feb 2015,ODI # 3618
14,14,34,41.17,2,0,,v West Indies,Perth,6 Mar 2015,ODI # 3625
