0,0,2,0.00,0,0,,v Pakistan,Kolkata,3 Jan 2013,ODI # 3315
2,2,10,20.00,0,0,,v Pakistan,Delhi,6 Jan 2013,ODI # 3316
20*,20,16,125.00,2,0,,v England,Rajkot,11 Jan 2013,ODI # 3318
DNB,-,-,-,-,-,,v England,Kochi,15 Jan 2013,ODI # 3320
DNB,-,-,-,-,-,,v England,Ranchi,19 Jan 2013,ODI # 3322
DNB,-,-,-,-,-,,v England,Mohali,23 Jan 2013,ODI # 3327
31,31,30,103.33,5,0,,v England,Dharamsala,27 Jan 2013,ODI # 3329
0*,0,0,-,0,0,,v South Africa,Cardiff,6 Jun 2013,ODI # 3363
DNB,-,-,-,-,-,,v West Indies,The Oval,11 Jun 2013,ODI # 3368
DNB,-,-,-,-,-,,v Pakistan,Birmingham,15 Jun 2013,ODI # 3372
DNB,-,-,-,-,-,,v Sri Lanka,Cardiff,20 Jun 2013,ODI # 3376
1*,1,1,100.00,0,0,,v England,Birmingham,23 Jun 2013,ODI # 3377
11*,11,5,220.00,1,1,,v West Indies,Kingston,30 Jun 2013,ODI # 3380
DNB,-,-,-,-,-,,v West Indies,Port of Spain,5 Jul 2013,ODI # 3383
DNB,-,-,-,-,-,,v Sri Lanka,Port of Spain,9 Jul 2013,ODI # 3387
0,0,15,0.00,0,0,,v Sri Lanka,Port of Spain,11 Jul 2013,ODI # 3388
18,18,27,66.66,1,0,,v Australia,Pune,13 Oct 2013,ODI # 3419
DNB,-,-,-,-,-,,v Australia,Jaipur,16 Oct 2013,ODI # 3420
10,10,18,55.55,1,0,,v Australia,Mohali,19 Oct 2013,ODI # 3421
DNB,-,-,-,-,-,,v Australia,Nagpur,30 Oct 2013,ODI # 3424
DNB,-,-,-,-,-,,v Australia,Bengaluru,2 Nov 2013,ODI # 3428
DNB,-,-,-,-,-,,v West Indies,Kochi,21 Nov 2013,ODI # 3436
1*,1,1,100.00,0,0,,v West Indies,Visakhapatnam,24 Nov 2013,ODI # 3437
DNB,-,-,-,-,-,,v West Indies,Kanpur,27 Nov 2013,ODI # 3439
0,0,4,0.00,0,0,,v South Africa,Johannesburg,5 Dec 2013,ODI # 3442
6,6,4,150.00,1,0,,v New Zealand,Napier,19 Jan 2014,ODI # 3456
11,11,6,183.33,2,0,,v New Zealand,Hamilton,22 Jan 2014,ODI # 3458
4,4,3,133.33,1,0,,v New Zealand,Auckland,25 Jan 2014,ODI # 3462
DNB,-,-,-,-,-,,v New Zealand,Hamilton,28 Jan 2014,ODI # 3465
20,20,25,80.00,1,0,,v New Zealand,Wellington,31 Jan 2014,ODI # 3467
DNB,-,-,-,-,-,,v Bangladesh,Fatullah,26 Feb 2014,ODI # 3474
0,0,0,-,0,0,,v Sri Lanka,Fatullah,28 Feb 2014,ODI # 3476
DNB,-,-,-,-,-,,v Pakistan,Dhaka,2 Mar 2014,ODI # 3479
DNB,-,-,-,-,-,,v Afghanistan,Dhaka,5 Mar 2014,ODI # 3483
DNB,-,-,-,-,-,,v England,Cardiff,27 Aug 2014,ODI # 3517
DNB,-,-,-,-,-,,v England,Nottingham,30 Aug 2014,ODI # 3520
