0,0,1,0.00,0,0,,v Bangladesh,Chittagong,23 Dec 2004,ODI # 2199
12,12,11,109.09,2,0,,v Bangladesh,Dhaka,26 Dec 2004,ODI # 2201
7*,7,2,350.00,0,1,,v Bangladesh,Dhaka,27 Dec 2004,ODI # 2202
3,3,7,42.85,0,0,,v Pakistan,Kochi,2 Apr 2005,ODI # 2235
148,148,123,120.32,15,4,,v Pakistan,Visakhapatnam,5 Apr 2005,ODI # 2236
28,28,24,116.66,5,0,,v Pakistan,Jamshedpur,9 Apr 2005,ODI # 2237
47,47,64,73.43,4,1,,v Pakistan,Ahmedabad,12 Apr 2005,ODI # 2238
11,11,16,68.75,1,0,,v Pakistan,Kanpur,15 Apr 2005,ODI # 2239
24,24,38,63.15,2,0,,v Pakistan,Delhi,17 Apr 2005,ODI # 2240
2,2,7,28.57,0,0,,v Sri Lanka,Dambulla,30 Jul 2005,ODI # 2262
15*,15,11,136.36,1,1,,v West Indies,Dambulla,31 Jul 2005,ODI # 2263
20,20,27,74.07,1,0,,v Sri Lanka,Dambulla,3 Aug 2005,ODI # 2265
28*,28,13,215.38,1,2,,v West Indies,Colombo (RPS),7 Aug 2005,ODI # 2267
7,7,11,63.63,0,0,,v Sri Lanka,Colombo (RPS),9 Aug 2005,ODI # 2268
2,2,5,40.00,0,0,,v New Zealand,Bulawayo,26 Aug 2005,ODI # 2273
56,56,46,121.73,2,4,,v Zimbabwe,Harare,29 Aug 2005,ODI # 2274
37*,37,27,137.03,3,2,,v New Zealand,Harare,2 Sep 2005,ODI # 2278
67*,67,63,106.34,1,3,,v Zimbabwe,Harare,4 Sep 2005,ODI # 2280
11,11,16,68.75,1,0,,v New Zealand,Harare,6 Sep 2005,ODI # 2281
38,38,28,135.71,3,2,,v Sri Lanka,Nagpur,25 Oct 2005,ODI # 2286
DNB,-,-,-,-,-,,v Sri Lanka,Mohali,28 Oct 2005,ODI # 2287
183*,183,145,126.20,15,10,,v Sri Lanka,Jaipur,31 Oct 2005,ODI # 2290
45*,45,43,104.65,1,2,,v Sri Lanka,Pune,3 Nov 2005,ODI # 2291
0,0,1,0.00,0,0,,v Sri Lanka,Ahmedabad,6 Nov 2005,ODI # 2294
DNB,-,-,-,-,-,,v Sri Lanka,Rajkot,9 Nov 2005,ODI # 2295
80,80,73,109.58,9,3,,v Sri Lanka,Vadodara,12 Nov 2005,ODI # 2296
17,17,28,60.71,1,0,,v South Africa,Hyderabad (Deccan),16 Nov 2005,ODI # 2297
DNB,-,-,-,-,-,,v South Africa,Bengaluru,19 Nov 2005,ODI # 2298
14,14,26,53.84,0,0,,v South Africa,Kolkata,25 Nov 2005,ODI # 2299
12,12,26,46.15,1,0,,v South Africa,Mumbai,28 Nov 2005,ODI # 2300
68,68,53,128.30,11,1,,v Pakistan,Peshawar,6 Feb 2006,ODI # 2324
DNB,-,-,-,-,-,,v Pakistan,Rawalpindi,11 Feb 2006,ODI # 2327
72*,72,46,156.52,13,0,,v Pakistan,Lahore,13 Feb 2006,ODI # 2329
2*,2,5,40.00,0,0,,v Pakistan,Multan,16 Feb 2006,ODI # 2331
77*,77,56,137.50,6,4,,v Pakistan,Karachi,19 Feb 2006,ODI # 2333
20,20,28,71.42,2,0,,v England,Delhi,28 Mar 2006,ODI # 2357
38,38,55,69.09,2,0,,v England,Faridabad,31 Mar 2006,ODI # 2358
13*,13,6,216.66,1,1,,v England,Margao,3 Apr 2006,ODI # 2359
10*,10,13,76.92,1,0,,v England,Kochi,6 Apr 2006,ODI # 2360
96,96,106,90.56,10,3,,v England,Jamshedpur,12 Apr 2006,ODI # 2361
3,3,10,30.00,0,0,,v Pakistan,Abu Dhabi,18 Apr 2006,ODI # 2363
59,59,72,81.94,5,0,,v Pakistan,Abu Dhabi,19 Apr 2006,ODI # 2364
18,18,11,163.63,2,1,,v West Indies,Kingston,18 May 2006,ODI # 2377
2,2,7,28.57,0,0,,v West Indies,Kingston,20 May 2006,ODI # 2379
15,15,26,57.69,1,0,,v West Indies,Basseterre,23 May 2006,ODI # 2380
46*,46,58,79.31,6,0,,v West Indies,Port of Spain,26 May 2006,ODI # 2381
14,14,19,73.68,2,0,,v West Indies,Port of Spain,28 May 2006,ODI # 2382
DNB,-,-,-,-,-,,v Sri Lanka,Colombo (SSC),18 Aug 2006,ODI # 2405
2,2,10,20.00,0,0,,v West Indies,Kuala Lumpur,14 Sep 2006,ODI # 2414
DNB,-,-,-,-,-,,v Australia,Kuala Lumpur,16 Sep 2006,ODI # 2416
18,18,13,138.46,4,0,,v West Indies,Kuala Lumpur,20 Sep 2006,ODI # 2419
23,23,34,67.64,0,1,,v Australia,Kuala Lumpur,22 Sep 2006,ODI # 2421
7,7,22,31.81,0,0,,v England,Jaipur,15 Oct 2006,ODI # 2429
51,51,65,78.46,1,2,,v West Indies,Ahmedabad,26 Oct 2006,ODI # 2437
28,28,23,121.73,2,0,,v Australia,Mohali,29 Oct 2006,ODI # 2440
14,14,27,51.85,3,0,,v South Africa,Durban,22 Nov 2006,ODI # 2447
55,55,48,114.58,3,4,,v South Africa,Cape Town,26 Nov 2006,ODI # 2449
26,26,21,123.80,4,1,,v South Africa,Port Elizabeth,29 Nov 2006,ODI # 2452
44,44,49,89.79,2,2,,v South Africa,Centurion,3 Dec 2006,ODI # 2458
62*,62,42,147.61,3,4,,v West Indies,Nagpur,21 Jan 2007,ODI # 2480
6,6,19,31.57,0,0,,v West Indies,Cuttack,24 Jan 2007,ODI # 2485
40*,40,20,200.00,1,3,,v West Indies,Vadodara,31 Jan 2007,ODI # 2493
TDNB,-,-,-,-,-,,v Sri Lanka,Kolkata,8 Feb 2007,ODI # 2514
48,48,68,70.58,1,0,,v Sri Lanka,Rajkot,11 Feb 2007,ODI # 2520
67*,67,74,90.54,4,0,,v Sri Lanka,Margao,14 Feb 2007,ODI # 2522
DNB,-,-,-,-,-,,v Sri Lanka,Visakhapatnam,17 Feb 2007,ODI # 2525
0,0,3,0.00,0,0,,v Bangladesh,Port of Spain,17 Mar 2007,ODI # 2538
29,29,25,116.00,2,1,,v Bermuda,Port of Spain,19 Mar 2007,ODI # 2542
0,0,1,0.00,0,0,,v Sri Lanka,Port of Spain,23 Mar 2007,ODI # 2550
91*,91,106,85.84,7,0,,v Bangladesh,Dhaka,10 May 2007,ODI # 2582
36,36,54,66.66,4,0,,v Bangladesh,Dhaka,12 May 2007,ODI # 2583
2,2,4,50.00,0,0,,v Africa XI,Bengaluru,6 Jun 2007,ODI # 2587
33,33,38,86.84,2,2,,v Africa XI,Chennai,9 Jun 2007,ODI # 2588
139*,139,97,143.29,15,5,,v Africa XI,Chennai,10 Jun 2007,ODI # 2589
0,0,4,0.00,0,0,,v South Africa,Belfast,29 Jun 2007,ODI # 2593
14*,14,11,127.27,2,0,,v South Africa,Belfast,1 Jul 2007,ODI # 2595
