12*,12,3,400.00,1,1,,v Sri Lanka,Hambantota,10 Nov 2012,ODI # 3307
TDNB,-,-,-,-,-,,v Sri Lanka,Hambantota,12 Nov 2012,ODI # 3308
DNB,-,-,-,-,-,,v Bangladesh,Fatullah,3 Nov 2013,ODI # 3429
DNB,-,-,-,-,-,,v Sri Lanka,Hambantota,10 Nov 2013,ODI # 3432
DNB,-,-,-,-,-,,v Sri Lanka,Hambantota,12 Nov 2013,ODI # 3434
DNB,-,-,-,-,-,,v West Indies,Queenstown,1 Jan 2014,ODI # 3451
DNB,-,-,-,-,-,,v India,Napier,19 Jan 2014,ODI # 3456
DNB,-,-,-,-,-,,v Pakistan,Dubai (DSC),8 Dec 2014,ODI # 3564
DNB,-,-,-,-,-,,v Pakistan,Sharjah,12 Dec 2014,ODI # 3566
DNB,-,-,-,-,-,,v Pakistan,Abu Dhabi,17 Dec 2014,ODI # 3570
DNB,-,-,-,-,-,,v Pakistan,Abu Dhabi,19 Dec 2014,ODI # 3571
7*,7,11,63.63,1,0,,v Sri Lanka,Christchurch,11 Jan 2015,ODI # 3574
19,19,27,70.37,0,0,,v Sri Lanka,Hamilton,15 Jan 2015,ODI # 3577
DNB,-,-,-,-,-,,v Sri Lanka,Nelson,20 Jan 2015,ODI # 3585
DNB,-,-,-,-,-,,v Pakistan,Wellington,31 Jan 2015,ODI # 3596
DNB,-,-,-,-,-,,v Pakistan,Napier,3 Feb 2015,ODI # 3598
DNB,-,-,-,-,-,,v Sri Lanka,Christchurch,14 Feb 2015,ODI # 3599
1*,1,3,33.33,0,0,,v Scotland,Dunedin,17 Feb 2015,ODI # 3604
DNB,-,-,-,-,-,,v England,Wellington,20 Feb 2015,ODI # 3607
0,0,2,0.00,0,0,,v Australia,Auckland,28 Feb 2015,ODI # 3617
DNB,-,-,-,-,-,,v Afghanistan,Napier,8 Mar 2015,ODI # 3628
DNB,-,-,-,-,-,,v West Indies,Wellington,21 Mar 2015,ODI # 3643
15*,15,12,125.00,1,0,,v South Africa,Centurion,19 Aug 2015,ODI # 3676
DNB,-,-,-,-,-,,v South Africa,Potchefstroom,23 Aug 2015,ODI # 3677
4,4,9,44.44,0,0,,v South Africa,Durban,26 Aug 2015,ODI # 3678
DNB,-,-,-,-,-,,v Sri Lanka,Christchurch,26 Dec 2015,ODI # 3714
17*,17,23,73.91,0,1,,v Sri Lanka,Nelson,31 Dec 2015,ODI # 3717
DNB,-,-,-,-,-,,v Sri Lanka,Nelson,2 Jan 2016,ODI # 3718
DNB,-,-,-,-,-,,v Sri Lanka,Mount Maunganui,5 Jan 2016,ODI # 3721
0*,0,1,0.00,0,0,,v Pakistan,Auckland,31 Jan 2016,ODI # 3730
14,14,10,140.00,1,1,,v Australia,Auckland,3 Feb 2016,ODI # 3731
36,36,27,133.33,2,1,,v Australia,Wellington,6 Feb 2016,ODI # 3733
5,5,4,125.00,1,0,,v Australia,Hamilton,8 Feb 2016,ODI # 3735
10*,10,6,166.66,1,0,,v Ireland,Dublin (Malahide),21 May 2017,ODI # 3870
11,11,7,157.14,2,0,,v Australia,Birmingham,2 Jun 2017,ODI # 3876
10,10,11,90.90,1,0,,v England,Cardiff,6 Jun 2017,ODI # 3880
7,7,8,87.50,0,0,,v Bangladesh,Cardiff,9 Jun 2017,ODI # 3883
DNB,-,-,-,-,-,,v India,Mumbai,22 Oct 2017,ODI # 3928
0,0,1,0.00,0,0,,v India,Pune,25 Oct 2017,ODI # 3931
DNB,-,-,-,-,-,,v India,Kanpur,29 Oct 2017,ODI # 3932
