7*,7,6,116.66,1,0,,v England,Cardiff,14 Sep 2013,ODI # 3415
3,3,5,60.00,0,0,,v India,Bengaluru,2 Nov 2013,ODI # 3428
DNB,-,-,-,-,-,,v England,Melbourne,12 Jan 2014,ODI # 3454
16,16,23,69.56,0,1,,v England,Brisbane,17 Jan 2014,ODI # 3455
DNB,-,-,-,-,-,,v England,Sydney,19 Jan 2014,ODI # 3457
8*,8,12,66.66,0,0,,v England,Perth,24 Jan 2014,ODI # 3461
15,15,18,83.33,1,0,,v England,Adelaide,26 Jan 2014,ODI # 3463
9*,9,8,112.50,1,0,,v South Africa,Perth,14 Nov 2014,ODI # 3545
2,2,10,20.00,0,0,,v South Africa,Perth,16 Nov 2014,ODI # 3546
DNB,-,-,-,-,-,,v South Africa,Melbourne,21 Nov 2014,ODI # 3549
DNB,-,-,-,-,-,,v Ireland,Belfast,27 Aug 2015,ODI # 3679
DNB,-,-,-,-,-,,v England,Southampton,3 Sep 2015,ODI # 3680
0*,0,0,-,0,0,,v England,Lord's,5 Sep 2015,ODI # 3681
0,0,7,0.00,0,0,,v South Africa,Providence,7 Jun 2016,ODI # 3741
1*,1,1,100.00,0,0,,v West Indies,Basseterre,13 Jun 2016,ODI # 3745
15,15,10,150.00,1,0,,v West Indies,Bridgetown,26 Jun 2016,ODI # 3756
2,2,5,40.00,0,0,,v India,Chennai,17 Sep 2017,ODI # 3910
8,8,20,40.00,0,0,,v India,Kolkata,21 Sep 2017,ODI # 3912
DNB,-,-,-,-,-,,v India,Indore,24 Sep 2017,ODI # 3914
DNB,-,-,-,-,-,,v India,Bengaluru,28 Sep 2017,ODI # 3917
0,0,1,0.00,0,0,,v India,Nagpur,1 Oct 2017,ODI # 3919
