DNB,-,-,-,-,-,,v Pakistan,Sharjah,2 Oct 2016,ODI # 3788
2,2,6,33.33,0,0,,v Pakistan,Abu Dhabi,5 Oct 2016,ODI # 3789
22*,22,13,169.23,2,1,,v England,Bridgetown,9 Mar 2017,ODI # 3849
DNB,-,-,-,-,-,,v Pakistan,Providence,7 Apr 2017,ODI # 3861
15,15,29,51.72,0,0,,v Pakistan,Providence,9 Apr 2017,ODI # 3862
27,27,35,77.14,2,1,,v Afghanistan,Gros Islet,9 Jun 2017,ODI # 3884
DNB,-,-,-,-,-,,v Afghanistan,Gros Islet,11 Jun 2017,ODI # 3887
TDNB,-,-,-,-,-,,v Afghanistan,Gros Islet,14 Jun 2017,ODI # 3890
TDNB,-,-,-,-,-,,v India,Port of Spain,23 Jun 2017,ODI # 3895
DNB,-,-,-,-,-,,v India,Port of Spain,25 Jun 2017,ODI # 3896
5*,5,7,71.42,0,0,,v India,North Sound,2 Jul 2017,ODI # 3900
3*,3,5,60.00,0,0,,v India,Kingston,6 Jul 2017,ODI # 3902
DNB,-,-,-,-,-,,v England,The Oval,27 Sep 2017,ODI # 3916
DNB,-,-,-,-,-,,v England,Southampton,29 Sep 2017,ODI # 3918
