1,1,8,12.50,0,0,,v India,Toronto,11 Sep 1999,ODI # 1497
15,15,22,68.18,3,0,,v India,Toronto,12 Sep 1999,ODI # 1498
7,7,22,31.81,1,0,,v India,Toronto,14 Sep 1999,ODI # 1499
6,6,15,40.00,1,0,,v Pakistan,Toronto,18 Sep 1999,ODI # 1501
0,0,1,0.00,0,0,,v Pakistan,Toronto,19 Sep 1999,ODI # 1502
7,7,18,38.88,0,0,,v Sri Lanka,Sharjah,17 Oct 1999,ODI # 1515
22,22,42,52.38,3,0,,v Pakistan,Sharjah,19 Oct 1999,ODI # 1517
4,4,12,33.33,0,0,,v Zimbabwe,Kingston,1 Apr 2000,ODI # 1584
58*,58,45,128.88,5,1,,v Zimbabwe,Kingston,2 Apr 2000,ODI # 1585
15,15,13,115.38,1,0,,v Pakistan,Kingstown,12 Apr 2000,ODI # 1588
42,42,49,85.71,4,0,,v Pakistan,St George's,16 Apr 2000,ODI # 1592
8,8,16,50.00,0,0,,v Pakistan,Bridgetown,19 Apr 2000,ODI # 1593
33,33,35,94.28,4,0,,v Pakistan,Port of Spain,22 Apr 2000,ODI # 1594
0,0,2,0.00,0,0,,v Pakistan,Port of Spain,23 Apr 2000,ODI # 1595
41,41,86,47.67,6,0,,v Zimbabwe,Bristol,6 Jul 2000,ODI # 1605
TDNB,-,-,-,-,-,,v England,Lord's,9 Jul 2000,ODI # 1609
6,6,13,46.15,1,0,,v Zimbabwe,Canterbury,11 Jul 2000,ODI # 1611
26,26,59,44.06,3,0,,v England,Chester-le-Street,15 Jul 2000,ODI # 1615
3,3,4,75.00,0,0,,v Zimbabwe,Chester-le-Street,16 Jul 2000,ODI # 1616
37,37,71,52.11,4,0,,v England,Nottingham,20 Jul 2000,ODI # 1618
27,27,34,79.41,4,0,,v South Africa,Kingston,28 Apr 2001,ODI # 1712
50,50,72,69.44,7,0,,v South Africa,St John's,2 May 2001,ODI # 1713
1,1,3,33.33,0,0,,v South Africa,St George's,5 May 2001,ODI # 1714
9,9,27,33.33,0,1,,v South Africa,St George's,6 May 2001,ODI # 1715
6,6,15,40.00,0,0,,v South Africa,Bridgetown,9 May 2001,ODI # 1716
28,28,39,71.79,5,0,,v South Africa,Kingstown,16 May 2001,ODI # 1718
53,53,76,69.73,7,0,,v Zimbabwe,Harare,23 Jun 2001,ODI # 1727
0,0,5,0.00,0,0,,v India,Bulawayo,30 Jun 2001,ODI # 1731
76,76,95,80.00,6,0,,v Zimbabwe,Bulawayo,1 Jul 2001,ODI # 1732
23,23,43,53.48,2,0,,v India,Harare,4 Jul 2001,ODI # 1733
43,43,45,95.55,8,0,,v India,Harare,7 Jul 2001,ODI # 1734
152,152,150,101.33,17,1,,v Kenya,Nairobi,15 Aug 2001,ODI # 1745
