44,44,29,151.72,2,3,,v Sri Lanka,Harare,16 Nov 2016,ODI # 3805
17,17,12,141.66,1,1,,v Zimbabwe,Bulawayo,19 Nov 2016,ODI # 3806
10,10,13,76.92,1,0,,v Sri Lanka,Bulawayo,23 Nov 2016,ODI # 3808
6,6,15,40.00,0,0,,v Zimbabwe,Bulawayo,25 Nov 2016,ODI # 3809
17,17,43,39.53,2,0,,v Afghanistan,Gros Islet,11 Jun 2017,ODI # 3887
TDNB,-,-,-,-,-,,v Afghanistan,Gros Islet,14 Jun 2017,ODI # 3890
30,30,43,69.76,5,0,,v India,North Sound,30 Jun 2017,ODI # 3898
2,2,9,22.22,0,0,,v India,North Sound,2 Jul 2017,ODI # 3900
31,31,32,96.87,0,2,,v India,Kingston,6 Jul 2017,ODI # 3902
23,23,28,82.14,2,1,,v England,Manchester,19 Sep 2017,ODI # 3911
TDNB,-,-,-,-,-,,v England,Nottingham,21 Sep 2017,ODI # 3913
8,8,9,88.88,0,1,,v England,Bristol,24 Sep 2017,ODI # 3915
28*,28,15,186.66,2,2,,v England,The Oval,27 Sep 2017,ODI # 3916
11,11,9,122.22,0,1,,v England,Southampton,29 Sep 2017,ODI # 3918
59,59,50,118.00,2,4,,v New Zealand,Whangarei,20 Dec 2017,ODI # 3943
0,0,1,0.00,0,0,,v New Zealand,Christchurch,23 Dec 2017,ODI # 3944
11,11,23,47.82,0,0,,v New Zealand,Christchurch,26 Dec 2017,ODI # 3945
DNB,-,-,-,-,-,,v P.N.G.,Harare,8 Mar 2018,ODI # 3991
101,101,100,101.00,7,7,,v Ireland,Harare,10 Mar 2018,ODI # 3993
3,3,12,25.00,0,0,,v Afghanistan,Harare,15 Mar 2018,ODI # 3997
15*,15,12,125.00,0,1,,v Zimbabwe,Harare,19 Mar 2018,ODI # 4002
15,15,26,57.69,0,0,,v Scotland,Harare,21 Mar 2018,ODI # 4004
44,44,75,58.66,1,2,,v Afghanistan,Harare,25 Mar 2018,ODI # 4007
